threshold_usd,wtic_priced_rows,wtic_baseline_n,wtic_event_return,wtic_z,divergence_baseline_n,divergence_event_gap,divergence_z
0,113,66,0.0389009893420042139935807948,1.5742028813586039688420162128,66,-0.0480873079709435998542102830,-1.5669762336931899962485335584
50,95,53,0.0389009893420042139935807948,1.5626407781246983740216186767,53,-0.0480873079709435998542102830,-1.5711472988792550843031948312
100,90,48,0.0389009893420042139935807948,1.6122982790504598932674442576,48,-0.0480873079709435998542102830,-1.6334897164264645856614239075
250,88,47,0.0389009893420042139935807948,1.5917981929281727377707372015,47,-0.0480873079709435998542102830,-1.6099324472801116639778275654
